index,deposit
0,40571.01339496691
1,83080.27449861587
2,58125.194691627796
3,41356.31060512608
4,62153.34545630208
5,23074.109350399223
6,9427.05769419091
7,24870.19029045179
8,20977.678940652873
9,16659.18965986851
10,25373.638334634863
11,77594.24517944975
12,42017.22127255809
13,13883.048748954514
14,137232.49222926752
15,18200.52891294654
16,16007.633064645444
17,18608.638361985544
18,32708.89021878662
19,32708.89021878662
20,17780.72861278166
21,86176.50949259874
22,48651.08771922896
23,48035.54976155342
24,26722.29012934751
25,41623.06213889029
26,35934.63269028058
27,38777.59445398605
28,26736.858951295824
29,26736.858951295824
30,30791.45001825691
31,30791.45001825691
32,16124.66315032025
33,34143.774642230506
34,29833.44147035292
35,23972.544994080094
36,23972.544994080094
37,29824.445925305594
38,19472.570601032443
39,30344.079372118427
40,32883.27389046344
41,19728.366002603627
42,38674.85247563387
43,40838.60426844292
44,26388.23234786118
45,14736.782393338517
46,57729.4859680033
47,14736.782393338517
48,58023.151004861415
49,20289.919320807858
50,10177.882712325863
51,32267.2133253971
52,24230.098431242357
53,24230.098431242357
54,21794.12065037064
55,19887.601347649186
56,23812.523840222737
57,19518.647378519505
58,32267.2133253971
59,23286.070804388375
60,28368.765126518047
61,51237.37020728163
62,37144.6279880739
63,16540.462406031336
64,24381.375667926633
65,20140.211727502236
66,48247.98926057598
67,61729.129614953206
68,32279.63025329563
69,16670.46897495762
70,61729.129614953206
71,66047.56130319643
72,56216.904257754584
73,57148.60817585164
74,54704.50246623822
75,54704.50246623822
76,47028.76711432418
77,47028.76711432418
78,40645.642268400145
79,18330.541328157964
80,30344.079372118427
81,18055.877614251698
82,34859.30716961091
83,14601.90376373843
84,29040.85588045659
85,47192.551518070424
86,38237.46390392916
87,27763.928617004745
88,26882.35115813038
89,39972.18949356506
90,18317.873613447584
91,18317.873613447584
92,22161.21332046228
93,33661.19177936923
94,29550.32368537793
95,19555.039549362544
96,36828.989649380615
97,42884.797896479555
98,19555.039549362544
99,23826.251453098088
100,23826.251453098088
101,19555.039549362544
102,36828.989649380615
103,22718.693137944854
104,23835.37333001553
105,26609.72815982674
106,24919.53225505476
107,39972.18949356506
108,38895.85004908975
109,26060.64305867793
110,19114.1708892518
111,20986.979132974153
112,20953.212808515305
113,22901.90543499757
114,41499.78682176792
115,36967.06365485787
116,36967.06365485787
117,23827.996524332295
118,22711.760774226874
119,23827.996524332295
120,14615.335395034526
121,30367.624370513902
122,22209.502984119023
123,22209.502984119023
124,20917.66619893561
125,22718.693137944854
126,28510.035093144215
127,74162.3077859023
128,43268.75790308823
129,60853.88702301603
130,46090.558677508365
131,95463.00600273875
132,37340.46318748154
133,39951.55758284858
134,19303.47535494267
135,51688.16463625586
136,16404.077352854718
137,55825.99068913947
138,11272.282859528212
139,9559.57930022746
140,9559.57930022746
141,9781.383280536942
142,24467.159496698212
143,64077.98684550695
144,43782.41099079931
145,43981.401104387514
146,34329.77353980701
147,40793.65926043502
148,50676.39920840282
149,19922.560308119526
150,41991.975336509815
151,104544.21170028964
152,42569.631411136266
153,55295.114119828984
154,68752.6517640277
155,19922.560308119526
156,31563.19857784019
157,40938.184352009775
158,31114.571384656905
159,57433.44792884075
160,37651.05441428073
161,57094.25961626325
162,82607.99978379431
163,37709.45059491929
164,20237.52918747814
165,25701.647619842937
166,16405.70011386482
167,16003.856745639792
168,47175.07000782666
169,37083.818850932505
170,37003.051617830686
171,61681.67703800095
172,31590.698435536786
173,33171.42042748091
174,35871.391361950446
175,14331.574760822214
176,44806.568583943605
177,24992.30964985806
178,18095.282583137796
179,18003.047715784993
180,18200.52891294654
181,61231.39354111902
182,67908.59094669763
183,67908.59094669763
184,32789.50001576495
185,32469.762518590254
186,32933.37638900819
187,35619.379681982646
188,54135.37274508398
189,22728.29391805457
190,20023.06669252836
191,24405.35419039665
192,29312.504553050945
193,17853.43424694306
194,17853.43424694306
195,37402.89826278781
196,18868.069396619598
197,18519.22750076223
198,18868.069396619598
199,20946.81614571963
200,20946.81614571963
201,47175.07000782666
202,55119.85295469235
203,27806.583584198266
204,49210.18187431309
205,213568.48996905054
206,143541.64912702463
207,25701.647619842937
208,46229.81187975907
209,29457.426627388577
210,25719.03522181585
211,13463.020041033627
212,17876.453102491854
213,17773.09732876305
214,14760.835374653645
215,21269.49108897611
216,21991.040624763195
217,21976.673975417943
218,21976.673975417943
219,23024.18355885962
220,23474.912940024045
221,31800.37046961129
222,49891.31462167491
223,28858.876989001586
224,39596.99551963238
225,19961.845791439366
226,16405.70011386482
227,18436.361538628043
228,33337.18744029246
229,17981.699432300597
230,28352.348590134487
231,16007.633064645444
232,18096.853873084034
233,15878.796205684424
234,16007.633064645444
235,54466.51493754641
236,19658.14329828167
237,16501.574099529425
238,16710.17620306697
239,19707.68694778752
240,16710.17620306697
241,19091.399537860343
242,16710.17620306697
243,19100.699298886753
244,19442.974771440808
245,19309.3014024243
246,19309.3014024243
247,13354.82465668249
248,38714.39330608959
249,16003.856745639792
250,185533.59317127356
251,19039.202334605106
252,17795.12764806123
253,19362.60308083361
254,10862.842450924478
255,11830.15741814241
256,11830.15741814241
257,63707.62463943253
258,62537.40087148636
259,16354.260779990287
260,36846.899342236014
261,48187.80971950789
262,103507.01799837455
263,103169.82379855256
264,40310.10805538849
265,42016.00139079134
266,18069.769708985965
267,57388.59571663054
268,56090.04594652962
269,20665.423112326476
270,54972.72857617454
271,25155.97846494605
272,20151.511025648917
273,41494.15700854981
274,33044.75491020938
275,18934.046945476995
276,20438.611273497914
